e,d_e,y_diff
-0.010000000000000009,0.020000000000000018,1.01
0.0,0.010000000000000009,1.05
0.0,0.0,1.09
0.0,0.0,1.1
-0.020000000000000018,-0.020000000000000018,1.11
0.010000000000000009,0.030000000000000027,1.1
0.010000000000000009,0.0,1.05
0.06000000000000005,0.050000000000000044,0.92
0.24,0.17999999999999994,0.8
0.38,0.14,-0.38
0.11000000000000001,-0.27,-0.24
1.1099999999999999,0.9999999999999999,-0.18
-1.05,-2.16,-0.12
0.16999999999999998,1.22,0.09
0.05,-0.11999999999999998,0.12
-0.010000000000000009,-0.06000000000000001,0.14
0.020000000000000018,0.030000000000000027,0.15
0.01999999999999999,-2.7755575615628914e-17,0.16
0.01999999999999999,0.0,0.18
0.03,0.010000000000000009,0.19
0.020000000000000018,-0.009999999999999981,0.23
0.010000000000000009,-0.010000000000000009,0.26
0.03999999999999998,0.02999999999999997,0.29
0.010000000000000009,-0.02999999999999997,0.31
0.03999999999999998,0.02999999999999997,0.34
0.010000000000000009,-0.02999999999999997,0.35
0.06,0.04999999999999999,0.38
-0.010000000000000009,-0.07,0.4
0.030000000000000027,0.040000000000000036,0.43
0.04999999999999999,0.019999999999999962,0.51
0.0,-0.04999999999999999,0.54
0.0,0.0,0.53
0.020000000000000018,0.020000000000000018,0.55
0.020000000000000018,0.0,0.58
0.04999999999999993,0.029999999999999916,0.6
-0.010000000000000009,-0.05999999999999994,0.61
0.040000000000000036,0.050000000000000044,0.62
-0.010000000000000009,-0.050000000000000044,0.64
0.030000000000000027,0.040000000000000036,0.66
-1.3599999999999999,-1.39,0.67
1.38,2.7399999999999998,0.68
0.020000000000000018,-1.3599999999999999,0.7
-0.020000000000000018,-0.040000000000000036,0.72
0.010000000000000009,0.030000000000000027,0.73
0.04999999999999993,0.039999999999999925,0.74
-0.04999999999999993,-0.09999999999999987,0.74
0.010000000000000009,0.05999999999999994,0.75
0.0,-0.010000000000000009,0.76
0.04999999999999993,0.04999999999999993,0.76
0.010000000000000009,-0.039999999999999925,0.76
-1.37,-1.3800000000000001,0.77
1.37,2.74,0.77
0.020000000000000018,-1.35,0.76
-0.06000000000000005,-0.08000000000000007,0.77
0.0,0.06000000000000005,0.77
-0.019999999999999907,-0.019999999999999907,0.75
-1.3900000000000001,-1.37,0.67
1.18,2.5700000000000003,0.52
-0.18,-1.3599999999999999,0.34
-0.009999999999999953,0.17000000000000004,0.26
-0.14,-0.13000000000000006,0.16
-0.030000000000000013,0.11,0.1
-0.06,-0.029999999999999985,0.03
-0.05,0.009999999999999995,-0.01
-0.1,-0.05,-0.08
-0.04000000000000001,0.06,-0.11
-0.06999999999999998,-0.02999999999999997,-0.17
-0.060000000000000026,0.009999999999999953,-0.24
-0.04999999999999999,0.010000000000000037,-0.3
-0.02999999999999997,0.020000000000000018,-0.32
-0.040000000000000036,-0.010000000000000064,-0.35
0.0,0.040000000000000036,-0.35
-0.019999999999999962,-0.019999999999999962,-0.37
-0.040000000000000036,-0.020000000000000073,-0.4
-0.019999999999999962,0.020000000000000073,-0.43
0.0,0.019999999999999962,-0.43
-0.020000000000000018,-0.020000000000000018,-0.44
0.010000000000000009,0.030000000000000027,-0.44
-0.010000000000000009,-0.020000000000000018,-0.44
